MAZ,TAZ,COUNTY,county_name,PUMA
16443,194,1,San Francisco,7507
16445,72,1,San Francisco,7507
16448,231,1,San Francisco,7507
16449,233,1,San Francisco,7507
16450,234,1,San Francisco,7507
16479,100,1,San Francisco,7507
16489,318,1,San Francisco,7507
16490,317,1,San Francisco,7507
16495,327,1,San Francisco,7507
16510,578,1,San Francisco,7507
16513,617,1,San Francisco,7507
16514,616,1,San Francisco,7507
16536,156,1,San Francisco,7507
16538,156,1,San Francisco,7507
16540,317,1,San Francisco,7507
16620,197,1,San Francisco,7507
16621,314,1,San Francisco,7507
16622,315,1,San Francisco,7507
16623,186,1,San Francisco,7507
16625,186,1,San Francisco,7507
16660,195,1,San Francisco,7507
16661,316,1,San Francisco,7507
16662,195,1,San Francisco,7507
16663,194,1,San Francisco,7507
16665,193,1,San Francisco,7507
16666,231,1,San Francisco,7507
16667,194,1,San Francisco,7507
16668,193,1,San Francisco,7507
16669,231,1,San Francisco,7507
16670,231,1,San Francisco,7507
16671,196,1,San Francisco,7507
16672,231,1,San Francisco,7507
16674,233,1,San Francisco,7507
16675,233,1,San Francisco,7507
16676,234,1,San Francisco,7507
16678,185,1,San Francisco,7507
16767,623,1,San Francisco,7507
16768,622,1,San Francisco,7507
16769,187,1,San Francisco,7507
16771,579,1,San Francisco,7507
16772,450,1,San Francisco,7507
16773,450,1,San Francisco,7507
16774,190,1,San Francisco,7507
16775,452,1,San Francisco,7507
16776,452,1,San Francisco,7507
16778,452,1,San Francisco,7507
16779,191,1,San Francisco,7507
16780,240,1,San Francisco,7507
16796,316,1,San Francisco,7507
16798,195,1,San Francisco,7507
16799,195,1,San Francisco,7507
16827,579,1,San Francisco,7507
16828,452,1,San Francisco,7507
16830,320,1,San Francisco,7507
16883,582,1,San Francisco,7507
16891,71,1,San Francisco,7507
16892,452,1,San Francisco,7507
16894,191,1,San Francisco,7507
16895,239,1,San Francisco,7507
16903,624,1,San Francisco,7507
16905,624,1,San Francisco,7507
16934,626,1,San Francisco,7507
16936,628,1,San Francisco,7507
17072,185,1,San Francisco,7507
17073,78,1,San Francisco,7507
17074,186,1,San Francisco,7507
17075,315,1,San Francisco,7507
17076,315,1,San Francisco,7507
17077,315,1,San Francisco,7507
17078,240,1,San Francisco,7507
17103,616,1,San Francisco,7507
17106,451,1,San Francisco,7507
17109,616,1,San Francisco,7507
17161,195,1,San Francisco,7507
17162,197,1,San Francisco,7507
17163,316,1,San Francisco,7507
17183,618,1,San Francisco,7507
17199,100,1,San Francisco,7507
17200,310,1,San Francisco,7507
17201,553,1,San Francisco,7507
17248,236,1,San Francisco,7507
17262,194,1,San Francisco,7507
17264,196,1,San Francisco,7507
17266,234,1,San Francisco,7507
17279,310,1,San Francisco,7507
17299,327,1,San Francisco,7507
17324,72,1,San Francisco,7507
17342,623,1,San Francisco,7507
17344,620,1,San Francisco,7507
17384,184,1,San Francisco,7507
17385,195,1,San Francisco,7507
17386,197,1,San Francisco,7507
110002,100428,2,San Mateo,8106
110003,100032,2,San Mateo,8105
110004,100395,2,San Mateo,8106
110014,100118,2,San Mateo,8106
110015,100222,2,San Mateo,8104
110016,100222,2,San Mateo,8104
110020,100243,2,San Mateo,8106
110021,100003,2,San Mateo,8106
110027,100439,2,San Mateo,8106
110030,100290,2,San Mateo,8105
110031,100441,2,San Mateo,8106
110033,100442,2,San Mateo,8105
110034,100342,2,San Mateo,8105
110037,100395,2,San Mateo,8106
110038,100430,2,San Mateo,8106
110039,100430,2,San Mateo,8106
110040,100030,2,San Mateo,8106
110042,100282,2,San Mateo,8106
110044,100120,2,San Mateo,8106
110045,100153,2,San Mateo,8105
110048,100036,2,San Mateo,8105
110050,100443,2,San Mateo,8105
110051,100119,2,San Mateo,8106
110052,100097,2,San Mateo,8104
110053,100097,2,San Mateo,8104
110055,100097,2,San Mateo,8104
110057,100236,2,San Mateo,8105
110062,100009,2,San Mateo,8105
110065,100439,2,San Mateo,8106
110066,100310,2,San Mateo,8104
110068,100311,2,San Mateo,8104
110069,100307,2,San Mateo,8103
110073,100153,2,San Mateo,8105
110078,100156,2,San Mateo,8104
110079,100096,2,San Mateo,8104
110080,100124,2,San Mateo,8104
110081,100178,2,San Mateo,8104
110082,100179,2,San Mateo,8104
110084,100304,2,San Mateo,8105
110090,100215,2,San Mateo,8104
110093,100211,2,San Mateo,8104
110094,100026,2,San Mateo,8105
110095,100010,2,San Mateo,8105
110096,100139,2,San Mateo,8105
110099,100190,2,San Mateo,8104
110102,100171,2,San Mateo,8106
110103,100143,2,San Mateo,8106
110105,100114,2,San Mateo,8106
110106,100283,2,San Mateo,8106
110111,100153,2,San Mateo,8105
110114,100392,2,San Mateo,8106
110116,100003,2,San Mateo,8106
110119,100243,2,San Mateo,8106
110120,100312,2,San Mateo,8106
110121,100312,2,San Mateo,8106
110122,100313,2,San Mateo,8106
110124,100312,2,San Mateo,8106
110126,100325,2,San Mateo,8103
110128,100277,2,San Mateo,8106
110130,100094,2,San Mateo,8104
110131,100094,2,San Mateo,8104
110133,100310,2,San Mateo,8104
110134,100126,2,San Mateo,8104
110137,100237,2,San Mateo,8104
110140,100152,2,San Mateo,8106
110151,100352,2,San Mateo,8105
110152,100352,2,San Mateo,8105
110153,100442,2,San Mateo,8105
110161,100313,2,San Mateo,8106
110162,100428,2,San Mateo,8106
110164,100029,2,San Mateo,8106
110165,100028,2,San Mateo,8106
110166,100171,2,San Mateo,8106
110167,100001,2,San Mateo,8106
110169,100399,2,San Mateo,8106
110171,100138,2,San Mateo,8105
110172,100138,2,San Mateo,8105
110173,100010,2,San Mateo,8105
110175,100447,2,San Mateo,8105
110177,100340,2,San Mateo,8105
110180,100351,2,San Mateo,8106
110186,100248,2,San Mateo,8106
110187,100170,2,San Mateo,8106
110188,100170,2,San Mateo,8106
110193,100248,2,San Mateo,8106
110194,100248,2,San Mateo,8106
110197,100097,2,San Mateo,8104
110204,100344,2,San Mateo,8105
110205,100186,2,San Mateo,8103
110208,100115,2,San Mateo,8105
110216,100337,2,San Mateo,8105
110217,100289,2,San Mateo,8105
110218,100289,2,San Mateo,8105
110220,100402,2,San Mateo,8105
110221,100467,2,San Mateo,8106
110222,100315,2,San Mateo,8106
110223,100315,2,San Mateo,8106
110224,100315,2,San Mateo,8106
110226,100115,2,San Mateo,8105
110230,100174,2,San Mateo,8104
110232,100158,2,San Mateo,8104
110235,100157,2,San Mateo,8104
110237,100158,2,San Mateo,8104
110238,100125,2,San Mateo,8104
110239,100126,2,San Mateo,8104
110240,100155,2,San Mateo,8104
110242,100096,2,San Mateo,8104
110243,100154,2,San Mateo,8104
110246,100433,2,San Mateo,8106
110247,100093,2,San Mateo,8103
110248,100275,2,San Mateo,8106
110250,100279,2,San Mateo,8106
110251,100280,2,San Mateo,8106
110252,100149,2,San Mateo,8106
110255,100186,2,San Mateo,8103
110257,100185,2,San Mateo,8103
110258,100186,2,San Mateo,8103
110259,100187,2,San Mateo,8104
110260,100187,2,San Mateo,8104
110261,100188,2,San Mateo,8104
110262,100123,2,San Mateo,8104
110264,100329,2,San Mateo,8104
110265,100329,2,San Mateo,8104
110266,100221,2,San Mateo,8104
110268,100124,2,San Mateo,8104
110271,100009,2,San Mateo,8105
110272,100011,2,San Mateo,8105
110275,100213,2,San Mateo,8104
110278,100219,2,San Mateo,8104
110279,100219,2,San Mateo,8104
110280,100124,2,San Mateo,8104
110282,100222,2,San Mateo,8104
110284,100180,2,San Mateo,8104
110285,100212,2,San Mateo,8104
110286,100031,2,San Mateo,8106
110287,100031,2,San Mateo,8106
110289,100386,2,San Mateo,8105
110294,100245,2,San Mateo,8106
110298,100123,2,San Mateo,8104
110299,100330,2,San Mateo,8104
110301,100123,2,San Mateo,8104
110304,100184,2,San Mateo,8103
110305,100188,2,San Mateo,8104
110306,100149,2,San Mateo,8106
110308,100141,2,San Mateo,8106
110310,100142,2,San Mateo,8106
110311,100142,2,San Mateo,8106
110312,100149,2,San Mateo,8106
110314,100147,2,San Mateo,8106
110316,100147,2,San Mateo,8106
110317,100388,2,San Mateo,8106
110321,100390,2,San Mateo,8106
110324,100119,2,San Mateo,8106
110326,100120,2,San Mateo,8106
110330,100096,2,San Mateo,8104
110333,100218,2,San Mateo,8104
110334,100218,2,San Mateo,8104
110335,100124,2,San Mateo,8104
110337,100098,2,San Mateo,8104
110340,100362,2,San Mateo,8105
110341,100011,2,San Mateo,8105
110343,100026,2,San Mateo,8105
110344,100354,2,San Mateo,8105
110345,100360,2,San Mateo,8105
110346,100355,2,San Mateo,8105
110349,100355,2,San Mateo,8105
110359,100089,2,San Mateo,8105
110360,100088,2,San Mateo,8105
110363,100089,2,San Mateo,8105
110365,100062,2,San Mateo,8105
110366,100088,2,San Mateo,8105
110367,100062,2,San Mateo,8105
110369,100290,2,San Mateo,8105
110370,100290,2,San Mateo,8105
110371,100290,2,San Mateo,8105
110372,100355,2,San Mateo,8105
110373,100444,2,San Mateo,8105
110374,100445,2,San Mateo,8105
110377,100290,2,San Mateo,8105
110379,100062,2,San Mateo,8105
110385,100032,2,San Mateo,8105
110386,100036,2,San Mateo,8105
110390,100317,2,San Mateo,8106
110392,100341,2,San Mateo,8106
110393,100318,2,San Mateo,8106
110394,100341,2,San Mateo,8106
110397,100280,2,San Mateo,8106
110398,100118,2,San Mateo,8106
110402,100356,2,San Mateo,8105
110403,100354,2,San Mateo,8105
110406,100356,2,San Mateo,8105
110409,100307,2,San Mateo,8103
110410,100307,2,San Mateo,8103
110411,100239,2,San Mateo,8103
110413,100307,2,San Mateo,8103
110414,100307,2,San Mateo,8103
110418,100244,2,San Mateo,8106
110419,100447,2,San Mateo,8105
110424,100356,2,San Mateo,8105
110426,100006,2,San Mateo,8105
110427,100006,2,San Mateo,8105
110429,100007,2,San Mateo,8105
110430,100007,2,San Mateo,8105
110431,100153,2,San Mateo,8105
110432,100007,2,San Mateo,8105
110434,100446,2,San Mateo,8105
110437,100342,2,San Mateo,8105
110439,100115,2,San Mateo,8105
110440,100036,2,San Mateo,8105
110441,100140,2,San Mateo,8105
110442,100140,2,San Mateo,8105
110443,100140,2,San Mateo,8105
110444,100140,2,San Mateo,8105
110446,100349,2,San Mateo,8105
110448,100438,2,San Mateo,8105
110449,100290,2,San Mateo,8105
110451,100337,2,San Mateo,8105
110452,100338,2,San Mateo,8105
110453,100315,2,San Mateo,8106
110454,100467,2,San Mateo,8106
110457,100442,2,San Mateo,8105
110460,100251,2,San Mateo,8104
110462,100423,2,San Mateo,8104
110463,100251,2,San Mateo,8104
110464,100251,2,San Mateo,8104
110465,100394,2,San Mateo,8104
110467,100394,2,San Mateo,8104
110471,100015,2,San Mateo,8102
110472,100078,2,San Mateo,8102
110474,100466,2,San Mateo,8102
110477,100019,2,San Mateo,8102
110478,100019,2,San Mateo,8102
110480,100019,2,San Mateo,8102
110481,100020,2,San Mateo,8102
110482,100042,2,San Mateo,8102
110483,100042,2,San Mateo,8102
110484,100224,2,San Mateo,8101
110485,100228,2,San Mateo,8101
110486,100224,2,San Mateo,8101
110488,100073,2,San Mateo,8101
110489,100226,2,San Mateo,8101
110491,100346,2,San Mateo,8105
110493,100439,2,San Mateo,8106
110496,100290,2,San Mateo,8105
110497,100341,2,San Mateo,8106
110498,100387,2,San Mateo,8106
110501,100153,2,San Mateo,8105
110503,100443,2,San Mateo,8105
110504,100354,2,San Mateo,8105
110506,100360,2,San Mateo,8105
110507,100290,2,San Mateo,8105
110509,100362,2,San Mateo,8105
110510,100212,2,San Mateo,8104
110515,100122,2,San Mateo,8104
