MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,Male,Female,Age_00_19,Age_20_34,Age_35_64,Age_65_up,Pop,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
511204,162,41,49,27,45,214,225,128,72,209,30,439,32234,4026,500277,1301,95,6,Solano
515362,260,29,76,50,105,423,419,263,119,397,63,842,33461,3988,500234,1301,95,6,Solano
426861,7,2,3,1,1,9,8,3,2,9,3,17,31304,3674,400540,2102,13,5,Contra Costa
412157,0,0,0,0,0,0,0,0,0,0,0,0,26699,3674,400540,2102,13,5,Contra Costa
416795,31,13,11,4,3,30,31,11,11,31,8,61,28317,3761,400633,2102,13,5,Contra Costa
413695,2,1,1,0,0,2,2,1,1,1,1,4,27268,3761,400633,2102,13,5,Contra Costa
512347,0,0,0,0,0,0,0,0,0,0,0,0,32693,4002,500250,1301,95,6,Solano
510856,499,82,152,97,168,704,739,437,224,712,70,1443,32092,4002,500250,1301,95,6,Solano
512293,84,14,26,16,28,119,124,73,38,120,12,243,32674,3989,500235,1301,95,6,Solano
514358,91,15,28,18,30,128,135,80,41,129,13,263,33211,3989,500235,1301,95,6,Solano
510534,43,11,17,7,8,52,54,25,13,53,15,106,31942,3862,500102,1301,95,6,Solano
413954,0,0,0,0,0,0,0,0,0,0,0,0,27364,3674,400540,2102,13,5,Contra Costa
410244,0,0,0,0,0,0,0,0,0,0,0,0,25866,3365,400221,2102,13,5,Contra Costa
410554,2,1,1,0,0,2,3,1,1,2,1,5,26009,3628,400490,2103,13,5,Contra Costa
415551,32,7,14,6,5,38,38,15,9,40,12,76,27903,3674,400540,2102,13,5,Contra Costa
410366,1,1,0,0,0,2,1,2,0,1,0,3,25929,3365,400221,2102,13,5,Contra Costa
411957,0,0,0,0,0,0,0,0,0,0,0,0,26610,3628,400490,2103,13,5,Contra Costa
427123,0,0,0,0,0,0,0,0,0,0,0,0,31366,3628,400490,2103,13,5,Contra Costa
417363,0,0,0,0,0,0,0,0,0,0,0,0,28518,3628,400490,2103,13,5,Contra Costa
511219,39,18,13,4,4,34,38,14,17,33,8,72,32244,3864,500104,1301,95,6,Solano
417437,69,16,30,12,11,83,81,32,20,85,27,164,28536,3674,400540,2102,13,5,Contra Costa
512103,61,16,23,10,12,74,77,35,19,75,22,151,32604,3862,500102,1301,95,6,Solano
519504,7,2,3,1,1,8,9,4,2,9,2,17,34357,3862,500102,1301,95,6,Solano
513749,18,5,7,3,3,22,23,10,6,23,6,45,33048,3862,500102,1301,95,6,Solano
518768,38,10,15,6,7,46,48,22,12,47,13,94,34238,3862,500102,1301,95,6,Solano
519044,106,27,41,18,20,128,134,62,33,129,38,262,34288,3862,500102,1301,95,6,Solano
511283,14,2,5,3,4,20,20,11,6,19,4,40,32276,3800,500035,1301,95,6,Solano
514695,416,123,148,68,77,455,520,262,155,447,111,975,33300,3932,500175,1301,95,6,Solano
514887,45,13,17,7,8,49,56,28,17,48,12,105,33343,3932,500175,1301,95,6,Solano
513246,78,8,28,18,24,115,116,67,26,116,22,231,32931,3880,500121,1301,95,6,Solano
516874,51,5,19,12,15,75,76,44,17,75,15,151,33836,3880,500121,1301,95,6,Solano
518715,50,15,18,6,11,58,60,31,16,55,16,118,34229,3863,500103,1301,95,6,Solano
519049,19,6,7,2,4,22,23,12,6,21,6,45,34291,3863,500103,1301,95,6,Solano
519046,59,15,23,10,11,71,75,34,18,73,21,146,34290,3862,500102,1301,95,6,Solano
514058,53,26,17,5,5,46,52,18,23,46,11,98,33126,3864,500104,1301,95,6,Solano
512043,46,22,15,5,4,40,45,16,20,40,9,85,32577,3864,500104,1301,95,6,Solano
516371,24,12,8,2,2,21,23,8,10,21,5,44,33712,3864,500104,1301,95,6,Solano
518269,19,9,6,2,2,17,18,7,8,16,4,35,34123,3864,500104,1301,95,6,Solano
511218,9,3,3,1,2,10,11,6,3,9,3,21,32243,3863,500103,1301,95,6,Solano
511209,55,16,21,6,12,63,67,34,17,62,17,130,32236,3863,500103,1301,95,6,Solano
514109,14,4,5,2,3,17,18,8,4,18,5,35,33145,3862,500102,1301,95,6,Solano
515165,84,25,31,10,18,97,101,52,26,93,27,198,33407,3863,500103,1301,95,6,Solano
516168,70,21,26,8,15,81,84,44,22,77,22,165,33659,3863,500103,1301,95,6,Solano
511210,48,14,18,6,10,55,58,30,15,53,15,113,32237,3863,500103,1301,95,6,Solano
518268,23,7,8,3,5,27,27,14,7,26,7,54,34122,3863,500103,1301,95,6,Solano
510149,20,6,8,2,4,23,24,12,6,23,6,47,31752,3863,500103,1301,95,6,Solano
511211,18,5,7,2,4,21,21,11,6,19,6,42,32238,3863,500103,1301,95,6,Solano
511214,29,9,11,3,6,33,35,18,9,32,9,68,32241,3863,500103,1301,95,6,Solano
511208,72,11,27,13,21,102,102,59,28,96,21,204,32235,3800,500035,1301,95,6,Solano
