MAZ,households,HHSize1,HHSize2,HHSize3,HHSize4p,HHType1,HHType2,HHType3,HHType4,HHType5,maz_seq1,taz_seq1,TAZ,PUMA,COUNTYFP,mtc_county_id,county_name
17266,25,3,6,5,11,15,2,3,3,2,4088,232,234,2207,75,1,San Francisco
17273,0,0,0,0,0,0,0,0,0,0,4089,339,345,2202,75,1,San Francisco
17274,133,71,50,9,3,28,1,2,72,30,4090,336,342,2202,75,1,San Francisco
17275,111,64,36,8,3,30,1,2,63,15,4091,344,351,2202,75,1,San Francisco
17279,38,6,9,7,16,18,3,8,6,3,4092,306,310,2207,75,1,San Francisco
17281,0,0,0,0,0,0,0,0,0,0,4093,617,634,2206,75,1,San Francisco
17285,87,19,27,16,25,40,3,7,19,18,4094,140,142,2205,75,1,San Francisco
17286,108,39,37,17,15,40,5,10,38,15,4095,528,538,2201,75,1,San Francisco
17287,55,10,15,12,18,30,3,8,10,4,4096,496,506,2205,75,1,San Francisco
17288,51,9,14,11,17,28,4,6,9,4,4097,491,501,2205,75,1,San Francisco
