MAZ,num_hh,gq_pop,gq_military,gq_university,gq_other,MAZ_ID
11038.0,0,0,0,0,0,11038
11039.0,93,0,0,0,0,11039
11041.0,43,0,0,0,0,11041
11042.0,54,0,0,0,0,11042
11044.0,53,2,0,0,2,11044
11046.0,101,0,0,0,0,11046
11051.0,76,7,0,0,7,11051
11055.0,85,0,0,0,0,11055
11056.0,69,7,0,0,7,11056
11059.0,124,0,0,0,0,11059
11060.0,69,0,0,0,0,11060
11062.0,79,0,0,0,0,11062
11063.0,108,9,0,0,9,11063
11064.0,127,0,0,0,0,11064
11065.0,8,89,0,89,0,11065
11067.0,146,0,0,0,0,11067
11068.0,128,0,0,0,0,11068
11071.0,883,29,0,0,29,11071
11073.0,233,0,0,0,0,11073
11074.0,0,0,0,0,0,11074
11075.0,288,0,0,0,0,11075
11079.0,153,0,0,0,0,11079
11080.0,85,0,0,0,0,11080
11081.0,92,0,0,0,0,11081
11082.0,116,24,0,0,24,11082
11083.0,197,0,0,0,0,11083
11085.0,97,0,0,0,0,11085
11086.0,0,9,0,0,9,11086
11087.0,81,0,0,0,0,11087
11090.0,249,0,0,0,0,11090
11092.0,147,0,0,0,0,11092
11093.0,401,0,0,0,0,11093
11094.0,102,0,0,0,0,11094
11095.0,157,0,0,0,0,11095
11096.0,82,0,0,0,0,11096
11097.0,74,0,0,0,0,11097
11098.0,72,0,0,0,0,11098
11099.0,66,0,0,0,0,11099
11100.0,73,0,0,0,0,11100
11101.0,61,0,0,0,0,11101
11102.0,79,0,0,0,0,11102
11103.0,101,0,0,0,0,11103
11104.0,79,0,0,0,0,11104
11106.0,45,0,0,0,0,11106
11107.0,58,0,0,0,0,11107
11108.0,91,0,0,0,0,11108
11109.0,65,0,0,0,0,11109
11118.0,174,0,0,0,0,11118
11120.0,63,0,0,0,0,11120
11121.0,240,0,0,0,0,11121
11122.0,269,0,0,0,0,11122
11125.0,155,0,0,0,0,11125
11127.0,119,0,0,0,0,11127
11128.0,0,0,0,0,0,11128
11129.0,0,3,0,0,3,11129
11130.0,0,2,0,0,2,11130
11132.0,222,0,0,0,0,11132
11133.0,47,0,0,0,0,11133
11134.0,132,0,0,0,0,11134
11135.0,157,0,0,0,0,11135
11136.0,73,0,0,0,0,11136
11138.0,103,0,0,0,0,11138
11139.0,265,0,0,0,0,11139
11145.0,30,0,0,0,0,11145
11146.0,47,0,0,0,0,11146
11147.0,25,0,0,0,0,11147
11148.0,55,0,0,0,0,11148
11149.0,1,6,0,0,6,11149
11150.0,168,0,0,0,0,11150
11151.0,264,0,0,0,0,11151
11152.0,182,0,0,0,0,11152
11153.0,215,0,0,0,0,11153
11154.0,120,0,0,0,0,11154
11155.0,130,0,0,0,0,11155
11156.0,175,0,0,0,0,11156
11157.0,87,0,0,0,0,11157
11159.0,91,0,0,0,0,11159
11160.0,171,0,0,0,0,11160
11162.0,87,0,0,0,0,11162
11163.0,56,0,0,0,0,11163
11164.0,67,0,0,0,0,11164
11165.0,66,0,0,0,0,11165
11166.0,100,0,0,0,0,11166
11167.0,56,0,0,0,0,11167
11168.0,84,6,0,0,6,11168
11169.0,107,0,0,0,0,11169
11171.0,99,0,0,0,0,11171
11172.0,410,0,0,0,0,11172
11173.0,127,0,0,0,0,11173
11174.0,90,2,0,0,2,11174
11175.0,83,0,0,0,0,11175
11176.0,65,0,0,0,0,11176
11177.0,76,0,0,0,0,11177
11178.0,61,0,0,0,0,11178
11179.0,65,0,0,0,0,11179
11180.0,55,0,0,0,0,11180
11181.0,63,0,0,0,0,11181
11182.0,64,0,0,0,0,11182
11183.0,65,0,0,0,0,11183
11184.0,0,0,0,0,0,11184
11186.0,88,0,0,0,0,11186
11190.0,88,0,0,0,0,11190
11191.0,126,0,0,0,0,11191
11192.0,123,0,0,0,0,11192
11195.0,121,5,0,0,5,11195
11196.0,98,0,0,0,0,11196
11198.0,65,0,0,0,0,11198
11199.0,84,0,0,0,0,11199
11200.0,169,0,0,0,0,11200
11201.0,60,0,0,0,0,11201
11203.0,65,0,0,0,0,11203
11204.0,62,0,0,0,0,11204
11205.0,57,14,0,0,14,11205
11206.0,0,0,0,0,0,11206
11207.0,76,0,0,0,0,11207
11208.0,60,0,0,0,0,11208
11210.0,80,0,0,0,0,11210
11211.0,71,0,0,0,0,11211
11213.0,550,0,0,0,0,11213
11216.0,107,0,0,0,0,11216
11221.0,51,0,0,0,0,11221
11222.0,61,0,0,0,0,11222
11223.0,73,0,0,0,0,11223
11224.0,22,0,0,0,0,11224
11225.0,44,0,0,0,0,11225
11226.0,0,0,0,0,0,11226
11228.0,2,0,0,0,0,11228
11229.0,34,0,0,0,0,11229
11230.0,29,0,0,0,0,11230
11231.0,29,0,0,0,0,11231
11232.0,16,0,0,0,0,11232
11234.0,44,0,0,0,0,11234
11236.0,83,0,0,0,0,11236
